Index_source,emb_index_no,rel,date_of_rel,year_of_rel,candidate_seed_blog,goal_url,goal_url_type,goal_url_creator,goal_url_location,goal_url_lang,goal_url_last_post_date,goal_url_first_post_date,goal_url_num_posts,goal_url_notes,goal_url_topic,This data generated 30 August 2014
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://musicapopularmexicana.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://norient.com/category/blog/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://jazzindianaavenue.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://www.musimid.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://www.weirdvibrations.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://soundstudiesblog.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://monrakplengthai.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://huqinblog.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://hajimaji.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://insideworldmusic.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://mashupresearch.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://themiddletownblog.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://sociosound.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://blogs.arts.ubc.ca/wordpressmu/musc403f/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://tinya.org/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://echarry.blogs.wesleyan.edu/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://thebraziliansound.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://ethnomusicologyanddavid.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://trias.over-blog.fr/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://asahikawamatsuri.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://webmusicmarketing.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://sallysethnomusicologydigest.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://gondang.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://transatlanticjazz.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://rilm.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://musicologymatters.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://peoplelistentoit.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://kathleenwiens.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://blogs.myspace.com/luishenriques,,,,,,,,,,
